subid,trial,category
8e34af2d-8e00-42a0-b410-e78d288441ff,0,S
8e34af2d-8e00-42a0-b410-e78d288441ff,1,S
8e34af2d-8e00-42a0-b410-e78d288441ff,2,S
8e34af2d-8e00-42a0-b410-e78d288441ff,3,N
8e34af2d-8e00-42a0-b410-e78d288441ff,4,N
8e34af2d-8e00-42a0-b410-e78d288441ff,5,N
8e34af2d-8e00-42a0-b410-e78d288441ff,6,N
8e34af2d-8e00-42a0-b410-e78d288441ff,7,N
8e34af2d-8e00-42a0-b410-e78d288441ff,8,N
8e34af2d-8e00-42a0-b410-e78d288441ff,9,S
8e34af2d-8e00-42a0-b410-e78d288441ff,10,S
8e34af2d-8e00-42a0-b410-e78d288441ff,11,S
8e34af2d-8e00-42a0-b410-e78d288441ff,12,N
8e34af2d-8e00-42a0-b410-e78d288441ff,13,N
8e34af2d-8e00-42a0-b410-e78d288441ff,14,N
8e34af2d-8e00-42a0-b410-e78d288441ff,15,S
8e34af2d-8e00-42a0-b410-e78d288441ff,16,S
8e34af2d-8e00-42a0-b410-e78d288441ff,17,S
8e34af2d-8e00-42a0-b410-e78d288441ff,18,N
8e34af2d-8e00-42a0-b410-e78d288441ff,19,N
8e34af2d-8e00-42a0-b410-e78d288441ff,20,N
8e34af2d-8e00-42a0-b410-e78d288441ff,21,S
8e34af2d-8e00-42a0-b410-e78d288441ff,22,S
8e34af2d-8e00-42a0-b410-e78d288441ff,23,S
8e34af2d-8e00-42a0-b410-e78d288441ff,24,S
8e34af2d-8e00-42a0-b410-e78d288441ff,25,S
8e34af2d-8e00-42a0-b410-e78d288441ff,26,S
8e34af2d-8e00-42a0-b410-e78d288441ff,27,N
8e34af2d-8e00-42a0-b410-e78d288441ff,28,N
8e34af2d-8e00-42a0-b410-e78d288441ff,29,N
8e34af2d-8e00-42a0-b410-e78d288441ff,30,S
8e34af2d-8e00-42a0-b410-e78d288441ff,31,S
8e34af2d-8e00-42a0-b410-e78d288441ff,32,S
8e34af2d-8e00-42a0-b410-e78d288441ff,33,N
8e34af2d-8e00-42a0-b410-e78d288441ff,34,N
8e34af2d-8e00-42a0-b410-e78d288441ff,35,N
8e34af2d-8e00-42a0-b410-e78d288441ff,36,N
8e34af2d-8e00-42a0-b410-e78d288441ff,37,N
8e34af2d-8e00-42a0-b410-e78d288441ff,38,N
8e34af2d-8e00-42a0-b410-e78d288441ff,39,S
8e34af2d-8e00-42a0-b410-e78d288441ff,40,S
8e34af2d-8e00-42a0-b410-e78d288441ff,41,S
8e34af2d-8e00-42a0-b410-e78d288441ff,42,S
8e34af2d-8e00-42a0-b410-e78d288441ff,43,S
8e34af2d-8e00-42a0-b410-e78d288441ff,44,S
8e34af2d-8e00-42a0-b410-e78d288441ff,45,N
8e34af2d-8e00-42a0-b410-e78d288441ff,46,N
8e34af2d-8e00-42a0-b410-e78d288441ff,47,N
