subject,roi,spearman_r_corr,spearman_r_euclidean
sub-001,LH_IFGorb,0.11698382277085163,0.04322347942171827
sub-001,LH_IFG,-0.0457624038244031,0.01042763331374116
sub-001,LH_MFG,-0.06466236410369768,-0.06250060394103328
sub-001,LH_AntTemp,-0.019304289494904044,-0.02470468664200459
sub-001,LH_PostTemp,0.03297656468242207,0.06939221527441622
sub-001,RH_IFGorb,0.04272879091888633,0.02109317462421999
sub-001,RH_IFG,0.0544177369412932,0.033131262069723846
sub-001,RH_MFG,0.06732367387008892,0.00696081053435712
sub-001,RH_AntTemp,-0.09227227339817191,-0.05074331655898661
sub-001,RH_PostTemp,0.03974950796454764,0.02272650452489977
sub-001,ALL,0.018458171992083407,0.03060463339283195
sub-002,LH_IFGorb,0.06182085020501356,0.056189228335829226
sub-002,LH_IFG,0.04230180325415095,0.09501424157262087
sub-002,LH_MFG,-0.047945723738895205,0.02450113030989369
sub-002,LH_AntTemp,0.053040782752488386,0.13019657648915187
sub-002,LH_PostTemp,-0.0993207591188021,-0.11214278087581242
sub-002,RH_IFGorb,-0.02688934984304195,0.0973003539951902
sub-002,RH_IFG,-0.03443354943895231,-0.010005352779472136
sub-002,RH_MFG,0.001127182416782908,-0.029026162793000104
sub-002,RH_AntTemp,0.08947814848476245,0.08815476024765144
sub-002,RH_PostTemp,-0.04450010928190873,-0.030901272644415667
sub-002,ALL,-0.026259832334962988,-0.019813927709985468
sub-003,LH_IFGorb,0.031429820658584254,0.016112801372222065
sub-003,LH_IFG,-0.034381786449973264,-0.04956679448905815
sub-003,LH_MFG,0.03568789772985315,0.007869813360413905
sub-003,LH_AntTemp,-0.04673712483151045,0.01318169450085739
sub-003,LH_PostTemp,0.024252351999799963,0.0340451863432792
sub-003,RH_IFGorb,-0.06265619541227363,-0.07480980232069875
sub-003,RH_IFG,0.03655854333689625,0.05743832228125489
sub-003,RH_MFG,-0.03382059577972953,-0.0021870434776199267
sub-003,RH_AntTemp,0.030339727783339935,-0.017477774809978846
sub-003,RH_PostTemp,-0.050139986181781636,-0.06366542425509485
sub-003,ALL,-0.0033662868055709906,-0.006240531689472068
sub-004,LH_IFGorb,-0.08677105551585107,-0.011158904566276625
sub-004,LH_IFG,-0.05520326380771646,-0.050476913830154346
sub-004,LH_MFG,-0.08263882780177968,0.019315988501017466
sub-004,LH_AntTemp,-0.09686311692368604,0.008858864015615909
sub-004,LH_PostTemp,-0.06289793451087296,-0.10211086287320796
sub-004,RH_IFGorb,-0.09076813831022722,0.04387485544385597
sub-004,RH_IFG,-0.19446351810206539,-0.11952795072291436
sub-004,RH_MFG,-0.05437607382254792,0.025116626060563772
sub-004,RH_AntTemp,-0.1865813051904335,-0.07345756298197555
sub-004,RH_PostTemp,-0.04218239438385902,0.025763145612834642
sub-004,ALL,-0.10190871814162991,-0.038461041584539044
