word,category
depressed,3
alarmed,2
pleased,4
distressed,2
annoyed,2
satisfied,4
astonished,1
afraid,2
calm,4
sleepy,4
frustrated,2
content,4
angry,2
droopy,3
tired,3
excited,1
bored,3
aroused,1
glad,1
serene,4
amused,1
delighted,1
gloomy,3
miserable,3
sleepy,4
afraid,2
angry,2
excited,1
delighted,1
bored,3
frustrated,2
tired,3
serene,4
distressed,2
glad,1
gloomy,3
annoyed,2
satisfied,4
miserable,3
amused,1
pleased,4
depressed,3
droopy,3
content,4
astonished,1
calm,4
aroused,1
alarmed,2
afraid,2
miserable,3
bored,3
droopy,3
glad,1
sleepy,4
serene,4
satisfied,4
annoyed,2
aroused,1
excited,1
tired,3
alarmed,2
calm,4
content,4
pleased,4
angry,2
depressed,3
delighted,1
amused,1
astonished,1
gloomy,3
distressed,2
frustrated,2
